,mux,muy,Re,q,I,roll,bulge_scale,bulge_q,bulge_roll,bulge_frac,chisq,accepted
6,127.29042142514109,126.3290363292111,31.170708310660885,0.6150807069680746,0.06256487258204725,0.7207453270688624,1.0,0.4,0.19286887218589882,0.4089179036087223,1.082778117679157,True
7,127.29034863032386,126.32907066077433,31.16820756191924,0.6150758702649592,0.06257214867388206,0.7207017748536589,1.0,0.4,0.1929148914478169,0.4088987926836938,1.082778123479206,True
1,127.29032415931123,126.329377925224,31.173496506894733,0.6150452604213813,0.06256156226637363,0.7207986270848887,1.0,0.4,0.192648728789098,0.4088980789780469,1.082778137158741,True
9,127.29050601816283,126.3289357206179,31.126344106799912,0.6157273916540313,0.06268421070999126,0.7200164368796232,1.0,0.4,0.19319890900714953,0.4085358232342016,1.082778760943515,True
5,127.29037572375864,126.33012668226479,31.41784300535538,0.6117410488905721,0.061897046435118015,0.7245100439612359,1.0,0.4,0.19094463688013777,0.4110404218540622,1.082797356193567,True
8,127.29027201643255,126.3283249234171,30.90448639910527,0.6186311728335137,0.06329828135168068,0.7166987887400404,1.0,0.4,0.19487509807680664,0.4066219268882828,1.0828011912512225,True
2,127.29007526863725,126.32311444513327,30.6900913891014,0.6214194800976535,0.06391163184608604,0.713246556383236,1.0,0.4,0.19616304051599864,0.40467422289011956,1.0828545845737805,True
3,127.14920149647995,126.38277635251482,31.151407275555485,0.6146676326230718,0.06273805610167527,0.7194338617778517,1.0,0.4,0.19225779961236267,0.4074579766623912,1.0835102584778207,True
0,127.14790186557255,126.38608959662547,31.223016562206812,0.6136892740128892,0.06254147064819922,0.7206059259453094,1.0,0.4,0.1916296006099764,0.4081030516570925,1.083512054154009,True
4,127.14870658428056,126.38418956999035,31.322736985289094,0.6123920055737355,0.06226941626292034,0.7220742562189292,1.0,0.4,0.19102228309273717,0.40895592987377244,1.0835195382228004,True
