subject_id,m_tot,m_aper,BT,r_tot,ba_tot,BT_aper,xctr_bulge,xctr_bulge_err,yctr_bulge,yctr_bulge_err,m_bulge,m_bulge_err,r_bulge,r_bulge_err,n_bulge,n_bulge_err,ba_bulge,ba_bulge_err,pa_bulge,pa_bulge_err,xctr_disk,xctr_disk_err,yctr_disk,yctr_disk_err,m_disk,m_disk_err,r_disk,r_disk_err,n_disk,n_disk_err,ba_disk,ba_disk_err,pa_disk,pa_disk_err,GalSky,GalSky_err,chi2nu,finalflag,autoflag,pyflag,pyfitflag,ra,dec,dr7objid
20901989,15.605,15.605,0.289252,3.12952,0.538913,0.289252,166.78,0.01,131.89,0.02,16.9518,0.0103,1.94028,0.0153648,0.6752,0.0163,0.2629,0.0031,4.5827,0.2276,166.45,0.03,132.95,0.11,15.9757,0.0158,6.39848,0.0555512,1.0,-999.0,0.5449,0.0026,7.9484,0.3738,20.982,0.000184673,1.09258,5121,2112,318,0,118.685,14.607,587741421632356667
20901992,15.1983,15.1983,0.528383,7.33348,0.475511,0.528383,309.62,0.02,309.42,0.01,15.8909,0.086,5.78358,0.44356,2.1554,0.0791,0.5793,0.0031,62.5462,0.4008,309.15,0.26,308.15,0.12,16.0143,0.0878,17.3978,0.391251,1.0,-999.0,0.422,0.014,78.3585,0.7268,21.2959,6.14591e-05,1.03005,3073,0,62,0,148.692,13.3747,587745538906652834
20901994,14.8755,14.8755,0.316343,5.56325,0.797555,0.316343,243.78,0.01,243.92,0.01,16.1251,0.0088,1.79875,0.0111276,1.1405,0.0117,0.6976,0.0022,-3.3816,0.4394,245.52,0.06,243.92,0.07,15.2884,0.004,9.99576,0.0853867,1.0,-999.0,0.7978,0.0033,-18.1046,0.8192,20.943,8.5454e-05,1.05244,5121,2048,62,0,144.843,36.5746,587735042545221729
20901999,14.8597,14.8597,0.332469,8.30135,0.513546,0.332469,374.13,0.01,321.34,0.01,16.0553,0.0806,3.92979,0.665557,7.5933,0.587,0.5297,0.0064,-49.677,0.5665,373.71,0.08,320.73,0.09,15.2985,0.021,14.5647,0.113694,1.0,-999.0,0.4911,0.0021,-40.0078,0.2556,20.9073,8.7348e-05,1.05402,3073,0,62,128,201.38,-3.37381,587729776364814348
20902000,15.3207,15.3311,0.121364,8.28,0.590136,0.121364,377.09,0.04,149.45,0.08,17.6104,0.0803,5.09038,0.356756,1.6869,0.0934,0.2473,0.0057,23.8053,0.4132,376.42,0.06,150.36,0.08,15.4611,0.0106,11.8601,0.0974804,1.0,-999.0,0.5952,0.003,42.7735,0.6358,20.9824,9.3711e-05,1.04162,5121,2112,65598,2,170.444,25.9716,587741600952615088
20902005,15.7848,15.7951,0.316502,5.38295,0.415318,0.316502,173.24,0.04,262.13,0.04,17.0338,0.1092,3.70886,0.2713,1.4445,0.0526,0.7076,0.0104,1.1386,2.4767,174.95,0.08,263.81,0.16,16.1979,0.0493,10.6069,0.20772,1.0,-999.0,0.3768,0.011,-16.2337,0.3283,20.6517,0.000106881,1.0218,5121,2048,62,0,200.581,2.42075,587726032794419368
20902020,13.9637,14.0428,0.411019,6.9555,0.80934,0.4417,286.61,0.01,286.92,0.02,14.929,0.0034,4.81861,0.0121968,0.8612,0.0044,0.4037,0.0008,11.8078,0.0801,287.19,0.05,283.24,0.05,14.5384,0.0028,12.8862,0.0716983,1.0,-999.0,0.7714,0.0027,78.7322,0.5353,21.0707,9.96683e-05,1.23688,5121,2048,62,0,134.348,17.288,588023240743190596
20902028,15.0221,15.0483,0.140236,8.36875,0.396196,0.1436,360.44,0.03,373.75,0.03,17.1549,0.0163,2.28797,0.0253044,0.8479,0.0181,0.8749,0.0072,-54.7254,2.9967,362.34,0.05,374.02,0.11,15.1861,0.0036,15.5588,0.114491,1.0,-999.0,0.3927,0.0021,-1.9221,0.1596,21.1501,5.95903e-05,1.03275,5121,2048,62,0,222.642,24.8215,587739707949580440
20902031,15.5119,15.531,0.32024,6.63304,0.528809,-999.0,302.28,0.03,207.88,0.03,16.7482,0.2575,5.30169,1.20756,2.2459,0.2247,0.5779,0.0104,-46.1694,1.1472,301.78,0.11,207.26,0.1,15.931,0.1083,10.899,0.19197,1.0,-999.0,0.5138,0.0053,-48.1635,0.5024,20.7435,7.12893e-05,0.99908,3073,0,62,0,179.361,-2.24773,587724649793650785
20902032,14.9929,15.0188,0.19234,8.84977,0.63018,0.1968,397.06,0.02,397.41,0.04,16.7828,0.0417,4.4352,0.130601,1.3162,0.0333,0.4202,0.004,13.4941,0.4092,398.06,0.07,396.77,0.1,15.2249,0.0087,13.5148,0.0972146,1.0,-999.0,0.631,0.0032,37.9776,0.6812,20.9326,4.49208e-05,0.99811,5121,2048,62,0,177.037,12.9146,588017567097028726
